trajectory,method,t0,T,ns,deltat,runtime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
0,CLEAR,0,1000,100,10,94.120000,0.017000,0.020000,0.020000,0.000000,0.020000,0.008000,0.020000,0.020000,0.020000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000
1,CLEAR,0,1000,100,10,94.280000,-0.001000,0.012000,0.020000,0.017000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,CLEAR,0,1000,100,10,93.770000,0.020000,0.018000,0.000000,0.013000,0.020000,0.020000,0.020000,0.020000,0.004000,0.007000,0.000000,0.000000,0.012000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.004000,0.013000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,CLEAR,0,1000,100,10,94.230000,0.000000,0.009000,0.009000,0.009000,0.009000,-0.000450,0.009000,0.000000,0.009000,0.009000,0.001800,0.001800,0.009000,0.000000,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009000,0.000000,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000450,0.009000,0.000000,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,CLEAR,0,1000,100,10,91.970000,0.020000,0.020000,0.020000,0.012000,0.000000,0.020000,0.020000,0.000000,0.020000,0.002000,0.000000,0.000000,-0.001000,0.000000,0.014000,0.000000,-0.001000,-0.001000,0.000000,0.000000,-0.001000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,-0.001000,0.020000,0.000000,0.004000,0.000000,0.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,CLEAR,0,1000,100,10,92.090000,0.010000,0.010000,0.004500,0.010000,0.010000,0.010000,0.010000,0.006000,0.010000,0.010000,0.000000,0.000000,-0.000500,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,-0.000500,-0.000500,0.000000,0.000000,0.000000,0.000000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.006000,-0.000500,0.006000,0.000000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000500,-0.000500,0.000000
6,CLEAR,0,1000,100,10,90.840000,0.000000,0.020000,0.020000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.020000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,CLEAR,0,1000,100,10,90.170000,0.008000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,-0.001000,-0.001000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.004000,0.000000,0.000000,-0.001000,0.002000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,CLEAR,0,1000,100,10,88.620000,0.000000,0.002000,0.020000,0.020000,0.020000,0.020000,-0.001000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,-0.001000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,CLEAR,0,1000,100,10,92.290000,0.020000,0.018000,0.020000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.004000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
