trajectory,method,t0,T,ns,deltat,runtime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
0,MPL,0,1000,100,10,0.001349,0.019587,0.004102,0.017416,0.018044,0.034647,0.021069,0.014822,-0.019723,0.023165,0.025740,0.013031,-0.013756,-0.016947,0.007060,-0.007853,0.006266,0.003012,-0.020592,-0.014269,-0.016300,-0.007930,-0.014623,-0.004094,0.008335,0.008067,0.003898,-0.010098,-0.003048,0.004413,-0.002066,0.002910,-0.002450,-0.031744,-0.000525,0.003190,0.010433,-0.013080,0.003596,-0.017197,0.006611,-0.008634,-0.012490,-0.019142,-0.020392,-0.020432,-0.019509,-0.019651,-0.014994,-0.002218,-0.033339
0,SL,0,1000,100,10,0.001081,0.018952,-0.006826,0.026208,0.008140,0.029673,0.029020,0.025465,-0.017604,0.022914,0.031128,-0.001471,-0.016663,-0.021821,0.002020,-0.012539,0.023935,-0.004918,-0.020499,-0.009817,-0.013553,-0.014583,-0.017328,-0.001854,-0.001318,-0.003289,-0.002646,-0.010150,0.010784,0.008256,-0.009405,-0.000524,-0.005764,-0.033344,-0.006825,-0.006196,-0.007293,-0.014790,0.011250,-0.016468,-0.003008,-0.013444,-0.010387,-0.019068,-0.022845,-0.010134,-0.017043,-0.020510,-0.015730,-0.009270,-0.033367
0,MPL_noMu,0,1000,100,10,1.000000,0.019597,0.009869,0.016003,0.018514,0.035575,0.021592,0.018410,-0.004282,0.026376,0.025455,0.019132,0.008331,0.004743,0.012680,0.006117,0.005672,0.009375,-0.001565,-0.005943,-0.001144,0.008475,0.004051,0.007628,0.014183,0.014299,0.016713,-0.000973,-0.002303,0.009542,0.007494,0.006780,0.007427,0.000581,0.004233,0.006613,0.015478,0.003931,0.009226,0.002618,0.010085,0.007559,0.004535,0.000777,0.003069,-0.010479,0.000792,0.001068,0.001465,0.007739,0.000392
0,SL_noMu,0,1000,100,10,1.000000,0.019510,0.000000,0.025001,0.009234,0.027937,0.028645,0.024990,0.000000,0.022793,0.029629,0.001676,0.004195,0.000000,0.004043,0.000000,0.023609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008079,0.001547,0.000000,0.011189,0.000000,0.009857,0.012800,0.000000,0.001715,0.003956,0.000000,0.000000,0.000000,0.000000,0.001659,0.012735,0.001844,0.000000,0.000000,0.007013,0.000000,0.000000,0.000000,0.004290,0.000000,0.001762,0.000000,0.000000
1,MPL,0,1000,100,10,0.001066,0.027132,0.035050,0.015924,-0.011711,0.023542,0.023017,0.024191,0.024746,0.017673,0.023961,-0.015039,-0.010827,-0.007437,-0.016957,-0.028428,-0.006061,0.002583,0.008823,-0.008042,-0.009158,-0.010114,-0.016008,0.005981,-0.029149,-0.006291,-0.005223,-0.003787,-0.006612,-0.019854,-0.001355,-0.011573,-0.000381,-0.000133,0.000733,0.002935,-0.005195,0.016399,0.016925,-0.024387,-0.002637,-0.030338,-0.012442,-0.026570,-0.020809,-0.023844,-0.002990,-0.000722,-0.013880,-0.005288,-0.022221
1,SL,0,1000,100,10,0.000965,0.028403,0.025771,-0.002096,-0.017769,0.025203,0.011675,0.013361,0.030211,0.001703,0.006801,-0.022328,-0.007454,-0.006947,-0.022854,-0.027948,0.010892,-0.004691,-0.002719,-0.009644,-0.007018,-0.008306,-0.018617,-0.007631,-0.028603,-0.000079,-0.000502,-0.007501,-0.005112,-0.025063,-0.005670,-0.012859,-0.007155,-0.007868,-0.005411,-0.007056,-0.013421,-0.000783,-0.001637,-0.026149,-0.001067,-0.028627,-0.014839,-0.025691,-0.023875,-0.020758,-0.011474,-0.007865,-0.005937,-0.009663,-0.019082
1,MPL_noMu,0,1000,100,10,1.000000,0.027893,0.037025,0.018945,0.007395,0.026179,0.026899,0.029894,0.025527,0.022492,0.025539,0.005648,-0.004760,0.004965,0.002117,-0.000708,-0.006199,0.009266,0.011274,0.003729,0.003783,-0.002398,0.004025,0.013383,-0.001021,-0.006647,0.002836,0.007041,-0.000145,0.005054,0.006837,0.001276,0.007561,0.006515,0.007235,0.007602,0.011744,0.020965,0.019473,0.004885,0.001764,-0.000631,0.002758,-0.001799,0.003604,-0.000230,0.010962,0.008043,-0.009290,0.007607,0.001568
1,SL_noMu,0,1000,100,10,1.000000,0.027903,0.024197,0.000583,0.000000,0.024014,0.012146,0.014335,0.029798,0.003301,0.007387,0.000000,0.000000,0.004735,0.000000,0.000000,0.011356,0.000000,0.001248,0.001090,0.004785,0.000000,0.000000,0.000000,0.000000,0.000090,0.006185,0.001917,0.000000,0.000000,0.000650,0.000000,0.000814,0.000000,0.000622,0.000000,0.001507,0.000121,0.000472,0.002915,0.000000,0.000000,0.000000,0.000000,0.000000,0.002319,0.000000,0.000893,0.000000,0.001092,0.004797
2,MPL,0,1000,100,10,0.001094,0.019013,0.023017,0.008034,0.027387,0.014958,0.015536,0.034086,0.025960,-0.004946,0.013150,-0.010176,-0.010765,-0.001549,-0.000330,-0.024008,-0.007182,-0.014097,-0.007800,-0.018529,0.003806,-0.009627,-0.002498,-0.014263,0.004176,-0.011676,-0.013658,-0.021105,-0.024754,-0.004994,-0.015678,-0.004856,0.002736,-0.004706,0.010186,-0.005874,-0.028936,0.014534,-0.004541,-0.000892,-0.003483,-0.022048,-0.014414,-0.016463,-0.018857,-0.017997,-0.008256,-0.032458,-0.012845,-0.012690,-0.005167
2,SL,0,1000,100,10,0.001038,0.025508,0.018166,0.003320,0.047195,0.008104,0.009558,0.050222,0.006214,-0.012628,-0.000304,-0.012520,-0.012914,-0.013280,0.021204,-0.023429,-0.010433,-0.017081,-0.012376,-0.017760,0.013771,-0.013871,-0.004365,-0.016834,-0.001553,-0.014641,-0.003909,-0.022329,-0.025080,-0.010833,-0.020509,-0.009226,-0.001977,-0.007536,-0.005678,-0.006281,-0.027766,0.023240,-0.005621,-0.006055,-0.003982,-0.022986,-0.018290,-0.017328,-0.018962,-0.006736,-0.009497,-0.028671,-0.019690,-0.016529,-0.007772
